State,2000,2001,2002,2003,2004,2005,2006
Federal (FLSA),$5.15 ,$5.15 ,$5.15 ,$5.15 ,$5.15 ,$5.15 ,5.15
Alabama,...,...,...,...,...,...,...
Alaska,5.65,5.65,5.65,7.15,7.15,7.15,7.15
Arizona,...,...,...,...,...,...,...
Arkansas,5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15 [c]
California,5.75,6.25,6.75,6.75,6.75,6.75,6.75
Colorado,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Connecticut,6.15,6.4,6.7,6.9,7.1,7.1,7.4
Delaware,5.65,6.15,6.15,6.15,6.15,6.15,6.15
Florida,...,...,...,...,...,...,6.4
Georgia,3.25(d),3.25(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,5.25,5.25,5.75,6.25,6.25,6.25,6.75
Idaho,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Illinois,5.15[c],5.15[c],5.15[c],5.15[c],5.50[c],6.50[c],6.50[c]
Indiana,5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e)
Iowa,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Kansas,2.65,2.65,2.65,2.65,2.65,2.65,2.65
Kentucky,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Louisiana,...,...,...,...,...,...,...
Maine,5.15,5.15,5.75,6.25,6.25,6.35,6.5
Maryland,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Massachusetts,6,6.75,6.75,6.75,6.75,6.75,6.75
Michigan,5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e)
Minnesota,4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),5.25 - 6.15(g)
Mississippi,...,...,...,...,...,...,...
Missouri,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Montana,4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15
Nebraska,5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c]
Nevada,5.15,5.15,5.15,5.15,5.15,5.15,5.15
New Hampshire,5.15,5.15,5.15,5.15,5.15,5.15,5.15
New Jersey,5.15,5.15,5.15,5.15,5.15,5.15,6.15
New Mexico,4.25,4.25,4.25,4.25,5.15,5.15,5.15
New York,4.25,5.15,5.15,5.15,5.15,6,6.75
North Carolina,5.15,5.15,5.15,5.15,5.15,5.15,5.15
North Dakota,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Ohio,2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g)
Oklahoma,2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15
Oregon,6.5,6.5,6.5,6.9,7.05,7.25,7.5
Pennsylvania,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Rhode Island,5.65,6.15,6.15,6.15,6.75,6.75,6.75
South Carolina,...,...,...,...,...,...,...
South Dakota,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Tennessee,...,...,...,...,...,...,...
Texas,3.35,3.35,5.15,5.15,5.15,5.15,5.15
Utah,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Vermont,5.75(e),6.25(e),6.25(e),6.25(e),6.75(e),7.00(e),7.25
Virginia,5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c]
Washington,6.5,6.72,6.9,7.01,7.16,7.35,7.63
West Virginia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Wisconsin,5.15,5.15,5.15,5.15,5.15,5.15,5.7
Wyoming,1.6,1.6,5.15,5.15,5.15,5.15,5.15
District of Columbia,6.15,6.15,6.15,6.15,6.15,6.6,7
Guam,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Puerto Rico,3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i)
U.S. Virgin Islands,"4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)",4.30 - 4.65 (g)
